ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
7075,SAO BERNARDO DO CAMPO,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,SP,MOTOCICLO,PARTICULAR,28,11,2025
6571,ITATINGA,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,MOTOCICLO,PARTICULAR,2,11,2025
7075,SAO BERNARDO DO CAMPO,7030-1,Conduzir motoc/moton/ciclom s/ capacete de seguranca,SP,MOTOCICLO,PARTICULAR,46,11,2025
6529,IRACEMAPOLIS,5118-0,PERMITIR POSSE/CONDUCAO DO VEICULO A PESSOA SEM CNH/PPD/ACC,SP,MOTOCICLO,PARTICULAR,3,11,2025
6451,GUAPIACU,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTOCICLO,PARTICULAR,3,11,2025
7019,AGUAS DE SANTA BARBARA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,3,11,2025
6635,LEME,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTONETA,PARTICULAR,13,11,2025
7007,SALTO DE PIRAPORA,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTOCICLO,PARTICULAR,2,11,2025
6921,PRAIA GRANDE,5550-0,ESTACIONAR EM LOCAL/HORARIO PROIBIDO ESPECIFICAMENTE PELA SINALIZACAO,SP,MOTOCICLO,PARTICULAR,1,11,2025
7135,SERTAOZINHO,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,MOTOCICLO,PARTICULAR,5,11,2025
6505,IGARATA,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTOCICLO,PARTICULAR,2,11,2025
6793,OSVALDO CRUZ,5045-0,DIRIGIR VEICULO COM VALIDADE DE CNH/PPD VENCIDA HA MAIS DE 30 DIAS,SP,AUTOMOVEL,PARTICULAR,9,11,2025
7225,VALINHOS,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,SP,MOTOCICLO,PARTICULAR,3,11,2025
6837,PEDRA BELA,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,MOTOCICLO,PARTICULAR,1,11,2025
7013,SANTA ADELIA,6530-0,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN,SP,CAMINHONET,PARTICULAR,5,11,2025
6475,GUARUJA,6050-1,AVAN O SIN VERM DO SEMAF EXC SE HOUVER SINALIZ PERM LIVRE CONV A DIR,SP,CAMINHONET,PARTICULAR,1,11,2025
6329,CERQUEIRA CESAR,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTOCICLO,PARTICULAR,2,11,2025
6875,PIRACICABA,5029-2,DIRIGIR VEICULO COM CNH/PPD/ACC COM SUSPENSAO DO DIREITO DE DIRIGIR,SP,AUTOMOVEL,PARTICULAR,1,11,2025
7005,SALTO,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,MOTONETA,PARTICULAR,1,11,2025
6779,OLIMPIA,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,AUTOMOVEL,PARTICULAR,7,11,2025
7135,SERTAOZINHO,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,CAMINHONET,PARTICULAR,6,11,2025
6313,CARAPICUIBA,5762-0,"TRANSITAR AO LADO DE OUTRO VEICULO, INTERROMPENDO OU PERTURBANDO O TRANSITO",SP,MOTOCICLO,PARTICULAR,7,11,2025
6495,IBIUNA,7684-2,Cond motoc/moton/ciclom c/ util cap de seg c/ vis/ocul prot des c/ regul Contran,SP,MOTOCICLO,PARTICULAR,9,11,2025
